,imdbID,imdbActorID,ActorName,tmdbActorID,tmdbActorName,Gender
336,tt2667550,nm2129812,Berrak Tüzünataç,115007,Berrak Tüzünataç,1
337,tt2667550,nm2443020,Umut Kurt,1021444,Umut Kurt,0
338,tt0038238,nm0714878,Michael Redgrave,7640,Michael Redgrave,2
339,tt0038238,nm0590055,John Mills,11859,John Mills,2
340,tt0038238,nm0424228,Rosamund John,104300,Rosamund John,1
341,tt0396962,nm1550913,Arun Nalawade,1064470,Arun Nalawade,2
342,tt0396962,nm1727096,Ashwin Chitale,1064471,Ashwin Chitale,2
343,tt0396962,nm1276263,Sandeep Kulkarni,992742,Sandeep Kulkarni,0
344,tt6200656,nm0226770,Dileep,930728,Dileep,2
345,tt6200656,nm1413459,Siddharth,108216,Siddharth,2
346,tt6200656,nm1729382,Murali Gopy,1061905,Murali Gopy,2
347,tt0096251,nm0846630,Tomorô Taguchi,67091,Tomorowo Taguchi,2
348,tt0096251,nm0297872,Kei Fujiwara,126452,Kei Fujiwara,0
349,tt0096251,nm0437099,Nobu Kanaoka,126453,Nobu Kanaoka,1
350,tt0041994,nm0001333,Susan Hayward,30124,Susan Hayward,1
351,tt0041994,nm0696481,Robert Preston,40202,Robert Preston,2
352,tt0041994,nm0000784,Pedro Armendáriz,96973,Pedro Armendáriz,2
353,tt1531663,nm0002071,Will Ferrell,23659,Will Ferrell,2
354,tt1531663,nm0356017,Rebecca Hall,15556,Rebecca Hall,1
355,tt1531663,nm3246926,Christopher Jordan Wallace,82163,C.J. Wallace,2
356,tt0180679,nm0001099,Jeff Daniels,8447,Jeff Daniels,2
357,tt0180679,nm0696193,Harve Presnell,3907,Harve Presnell,2
358,tt0180679,nm0017020,Joey Albright,1295233,Joey Albright,0
359,tt0392883,nm0813763,Milind Soman,53620,Milind Soman,2
360,tt0392883,nm1227864,Mylène Jampanoï,20197,Mylène Jampanoï,1
361,tt0392883,nm0787462,Naseeruddin Shah,6497,Naseeruddin Shah,2
362,tt0055361,nm0359437,Tony Hancock,1238228,Tony Hancock,0
363,tt0055361,nm0001695,George Sanders,3361,George Sanders,2
364,tt0055361,nm0557407,Paul Massie,29672,Paul Massie,2
365,tt1315962,nm0000218,Kristin Scott Thomas,5470,Kristin Scott Thomas,1
366,tt1315962,nm0530365,Sergi López,16972,Sergi López,2
367,tt1315962,nm0040939,Yvan Attal,2245,Yvan Attal,2
368,tt0455663,nm1375534,Trisha Krishnan,116925,Trisha Krishnan,1
369,tt0455663,nm1413459,Siddharth,108216,Siddharth,2
370,tt0455663,nm0820240,Srihari,146936,Srihari,2
371,tt0343221,nm1698949,Topi Majaniemi,109894,Topi Majaniemi,0
372,tt0343221,nm0537523,Marjaana Maijala,109895,Marjaana Maijala,1
373,tt0343221,nm0526581,Maria Lundqvist,22330,Maria Lundqvist,1
374,tt0124012,nm0418440,Iva Janzurová,146761,Iva Janžurová,1
375,tt0124012,nm0009368,Josef Abrhám,72795,Josef Abrhám,2
376,tt0124012,nm0228686,Nina Divísková,235640,Nina Divíšková,1
377,tt0162710,nm0132301,Christian Campbell,19225,Christian Campbell,2
378,tt0162710,nm0685755,John Paul Pitoc,19226,John Paul Pitoc,2
379,tt0162710,nm0001760,Tori Spelling,19149,Tori Spelling,1
380,tt0081606,nm0728111,Frank Ripploh,113764,Frank Ripploh,2
381,tt0081606,nm0110376,Bernd Broaderup,113766,Bernd Broaderup,0
382,tt0081606,nm0855643,Orpha Termin,1039976,Orpha Termin ,0
383,tt0119670,nm0001085,Kieran Culkin,18793,Kieran Culkin,2
384,tt0119670,nm0711805,Elden Henson,20220,Elden Henson,2
385,tt0119670,nm0000232,Sharon Stone,4430,Sharon Stone,1
386,tt3660370,nm3026010,Angélique Litzenburger,1319776,Angélique Litzenburger,0
387,tt3660370,nm6551035,Joseph Bour,1319777,Joseph Bour,0
