imdbID,imdbDirectorID,DirectorName
tt2375574,nm1296554,Ben Wheatley
tt4315956,nm1252754,Jin-pyo Park
tt7763020,nm1531700,Aleksey German Jr.
tt2082180,nm0814271,Il-gon Song
tt0954981,nm1580671,Jon S. Baird
tt0038151,nm0627087,Kurt Neumann
tt2639336,nm0001403,Neil Jordan
tt2191394,nm3760126,Mez Tharatorn
tt0103601,nm0894577,Henri Verneuil
tt1891755,nm3442103,Chakri Toleti
tt0104770,nm0939147,Jing Wong
tt3890264,nm1928500,Hao Ning
tt0179116,nm0044803,Jamie Babbit
tt0338949,nm0970382,Piotr Trzaskalski
tt0099740,nm0822582,Richard Stanley
tt0393109,nm0426059,Rian Johnson
tt0111689,nm0006888,Tom Noonan
tt4537896,nm1312919,Yann Demange
tt1954598,nm1834891,Maneesh Sharma
tt0063876,nm0651915,Nagisa Ôshima
tt6040662,nm0264236,Richard Eyre
tt0251756,nm0890060,Ram Gopal Varma
tt1224366,nm1290515,Antonio Campos
tt10375682,nm0381305,Ed Herzog
tt0029557,nm0654868,Yasujirô Ozu
tt0285742,nm0286975,Marc Forster
tt0115710,nm0706182,Bob Rafelson
tt0210727,nm0885108,Eric Valli
tt0210727,nm0213340,Michel Debats
tt5442308,nm7905703,Il-Hyeong Lee
tt1466054,nm0280396,Thom Fitzgerald
tt0011909,nm0001124,Cecil B. DeMille
tt0023694,nm0356931,Victor Halperin
tt0053354,nm0859387,Ralph Thomas
tt0437171,nm0692530,Carlos Portugal
tt4926822,nm0480768,Gabriel Julien-Laferrière
tt0063715,nm0000019,Federico Fellini
tt0063715,nm0001501,Louis Malle
tt0063715,nm0671862,Roger Vadim
tt1615916,nm1402329,Keith Hartman
tt0488174,nm0051907,Pang Eun-jin
tt1594918,nm1699659,Hakan Algül
tt1361349,nm0005917,Joseph Vilsmaier
tt5159734,nm7694606,Rajkumar Gunduloori
tt0488535,nm0591400,Cecilia Miniucchi
tt0320194,nm0612816,Cristian Mungiu
tt1530983,nm0400850,Patrick Hughes
tt0094888,nm0001348,Werner Herzog
tt11199356,nm9391630,Venky Kudumula
tt0950739,nm0282425,Peter Flinth
tt8027322,nm0195264,Frank D'Angelo
tt0058238,nm0934013,Richard Wilson
tt0142181,nm0586281,Takashi Miike
tt0255713,nm0070867,Shyam Benegal
tt0104025,nm0785684,Coline Serreau
